route,capital,state_definition,state,signals,signal_dates,state_episodes,legal_fill_rate,matured,equal_date_return,equal_event_return,standardized_pnl,win_rate,profit_factor,tail_p05,mfe,mae,mean_held,actual_orders,actual_fills,cash_pnl_contribution,actual_cash_rejections,state_rejected_by_simple_gate
D02,C_MAX,S0_CURRENT,BEAR,843,167,14,0.5634638196915777,475,-0.017415655958840613,0.0024112454057268265,109764.51959009928,0.47157894736842104,1.0563297008499697,-0.18099480106582358,0.10059750851670306,-0.08058004414343269,10.00842105263158,843,155,-377103.14567180024,36,0
D02,C_MAX,S0_CURRENT,BULL,2455,402,20,0.4904276985743381,1202,-0.004236324128344196,-0.0035346385989273735,-387590.4216797013,0.4667221297836938,0.9309561873389196,-0.18236261796785252,0.1013927335608195,-0.09069583442019971,10.004159733777039,2455,323,-48416.84811839997,142,0
D02,C_MAX,S0_CURRENT,TRANSITION,1131,253,33,0.5632183908045977,631,0.0036927030869282696,-0.001685319309646806,-110569.6898960002,0.4611727416798732,0.9577214723921652,-0.17297996260838036,0.09228734129839354,-0.07904650701303512,10.014263074484944,1131,196,-144836.86641070023,51,0
D02,C_MAX,S1,HIGH_IMPROVING,1328,186,50,0.47740963855421686,634,-0.0011416431131977293,-0.002669144479518197,-161321.9044817006,0.47791798107255523,0.9446630728574449,-0.19391216406899786,0.10487140863666597,-0.08387172104453687,10.001577287066246,1328,145,148903.65726070007,73,0
D02,C_MAX,S1,HIGH_NONIMPROVING,995,189,48,0.5005025125628141,498,-0.00940870282885803,-0.005641364621413574,-252291.5764388003,0.41164658634538154,0.893057704167253,-0.1611899358493589,0.09304259579394734,-0.09388888184849521,10.0,995,161,-533058.0008057,36,0
D02,C_MAX,S1,LOW_IMPROVING,1240,232,45,0.5814516129032258,720,-0.010357695934516626,-0.0031147515364195943,-214988.92525190063,0.4638888888888889,0.9297480099798999,-0.17726676720779752,0.09418950161766941,-0.08259475665642113,10.011111111111111,1240,199,-161459.78899840027,91,0
D02,C_MAX,S1,LOW_NONIMPROVING,866,215,53,0.5346420323325635,456,0.003118186691140219,0.00565247319105923,240206.81418679928,0.5131578947368421,1.1303413025838798,-0.18368766918905383,0.10362076249796344,-0.08283048414698585,10.019736842105264,866,169,-24742.727657500305,29,866
D03,C_MAX,S0,BEAR,2934,206,14,0.6209952283571916,1821,-0.008120864320188364,-0.012138375668747326,-2159175.3226572005,0.4157056562328391,0.7267592616266102,-0.1754611738529385,0.08244694178209869,-0.07471997549910703,10.024162548050521,2934,181,-137220.8752151,15,0
D03,C_MAX,S0,BULL,6424,431,21,0.5814134495641345,3727,-0.008661978332868091,-0.00688491775706698,-2522354.599752701,0.40971290582237724,0.8344965334681999,-0.15538134747119492,0.08366706842108909,-0.07377764383300964,10.006707807888382,6424,374,-499226.9990613,17,0
D03,C_MAX,S0,TRANSITION,4667,301,35,0.6110992071994857,2779,-0.007036209404818941,-0.005057647378158314,-1348754.9633321017,0.43468873695573945,0.8592821320344275,-0.13933466340847056,0.0770882784996468,-0.06620702407886818,10.002878733357322,4667,262,-188483.51574259996,11,0
