decision_at,ATRDR Bull,ATRDR Fast Bear,ATRDR Slow Bear,IFCGR,MCB,OGR,SMV6
2025-03-04 15:00:00,1,0,0,0,0,0,0
2025-03-14 15:00:00,6,0,0,0,4,0,0
2025-03-17 15:00:00,3,0,0,0,0,1,0
2025-03-18 15:00:00,2,0,0,0,0,0,0
2025-04-10 15:00:00,0,0,0,0,0,2,0
2025-04-18 15:00:00,0,0,0,0,0,1,0
2025-04-21 15:00:00,0,0,0,0,0,22,0
2025-04-23 15:00:00,0,0,0,0,0,1,0
2025-05-08 15:00:00,20,0,0,0,20,0,0
2025-05-09 15:00:00,8,0,0,0,8,0,0
2025-05-12 15:00:00,17,0,0,0,17,0,0
2025-05-13 15:00:00,7,0,0,0,6,0,0
2025-05-14 15:00:00,3,0,0,0,3,0,0
2025-05-29 15:00:00,3,0,0,0,0,0,0
2025-06-03 15:00:00,5,0,0,0,5,0,0
2025-06-04 15:00:00,4,0,0,0,4,0,0
2025-06-09 15:00:00,2,0,0,0,0,0,0
2025-06-25 15:00:00,20,0,0,0,20,0,0
2025-06-26 15:00:00,2,0,0,0,0,0,0
2025-06-30 15:00:00,17,0,0,0,16,0,0
2025-07-01 15:00:00,2,0,0,0,2,0,0
2025-07-10 15:00:00,8,0,0,0,0,0,0
2025-07-11 15:00:00,1,0,0,0,6,0,0
2025-07-14 15:00:00,3,0,0,0,6,0,0
2025-07-16 15:00:00,6,0,0,0,7,0,0
2025-07-17 15:00:00,8,0,0,0,5,0,0
2025-07-22 15:00:00,10,0,0,0,8,0,0
2025-07-24 15:00:00,2,0,0,0,0,0,0
2025-08-04 15:00:00,3,0,0,0,3,0,0
2025-08-05 15:00:00,1,0,0,0,0,0,0
2025-08-06 15:00:00,1,0,0,0,0,0,0
2025-08-07 15:00:00,2,0,0,0,2,0,0
2025-08-08 15:00:00,1,0,0,0,0,0,0
2025-08-11 15:00:00,2,0,0,0,2,0,0
2025-08-14 15:00:00,1,0,0,0,0,0,0
