variant,slice_type,slice,completed_trades,mean_net_return,profit_factor,win_rate,return_p05,mean_mae,delta_mean_net_return_vs_p0,delta_profit_factor_vs_p0,top_five_winner_profit_share
P5_HEALTHY_HOLDING,pit_volatility_regime,MID_VOL,51,0.03076467362133751,2.7041103330342477,0.43137254901960786,-0.07313096142547182,-0.028728804155747464,0.018733118550586875,1.2368589179007305,0.46161038739086135
P5_HEALTHY_HOLDING,pit_volatility_regime,HIGH_VOL,27,-0.0338282926467836,0.20212270952807632,0.2222222222222222,-0.09312985799514206,-0.051724039430708794,-0.02482352562151458,-0.5749701205322867,0.9941009152120927
P6_DETERIORATION_DERISK,chronological_split,discovery,44,0.005425163705114566,1.3179512643375113,0.36363636363636365,-0.052399486885541004,-0.025851975009515537,-0.000679531931819426,0.051906530967205544,0.6735723379421066
P6_DETERIORATION_DERISK,chronological_split,validation,63,0.02119291261094372,1.9848892071628663,0.4444444444444444,-0.07341678150254567,-0.031271005103477315,0.007048726885005458,0.48870517142934644,0.421663927632357
P6_DETERIORATION_DERISK,chronological_split,holdout,90,-0.009510799779805262,0.6804314666168177,0.2222222222222222,-0.06465861342970983,-0.03649305488123049,0.004282461823745169,0.07704487817537486,0.5972774564731064
P6_DETERIORATION_DERISK,symbol_subset,HASH_BUCKET_A,98,0.009051914429712921,1.3889070262369432,0.35714285714285715,-0.06555789803881357,-0.032126771022380186,0.009460127924005926,0.4021476036511128,0.47432946378948915
P6_DETERIORATION_DERISK,symbol_subset,HASH_BUCKET_B,99,-0.0017090797654529754,0.9324272827309396,0.29292929292929293,-0.06873842378434004,-0.03276274344500243,-0.006344500235203084,-0.2319148531634222,0.38462897697083404
P6_DETERIORATION_DERISK,holdout_calendar_subperiod,SEP_OCT,52,-0.015258933741712914,0.5404968790382247,0.1346153846153846,-0.06952623697840692,-0.03844685718069308,0.002669735312175207,0.03660295168311478,0.9580162490344879
P6_DETERIORATION_DERISK,holdout_calendar_subperiod,NOV_DEC,38,-0.0016449322529842646,0.9343227132190559,0.34210526315789475,-0.062246547405140254,-0.03381943068196586,0.007780595638973548,0.21703249690025028,0.59830761196876
P6_DETERIORATION_DERISK,pit_volatility_regime,LOW_VOL,119,-0.0002641430012020824,0.9887396397708108,0.29411764705882354,-0.0577702070202931,-0.0296656897871953,-0.00406364021105659,-0.17519434281500645,0.44446811374769035
P6_DETERIORATION_DERISK,pit_volatility_regime,MID_VOL,51,0.03129150903749617,2.771451808636161,0.45098039215686275,-0.07313096142547182,-0.028728804155747464,0.019259953966745534,1.3042003935026438,0.4603096569494169
P6_DETERIORATION_DERISK,pit_volatility_regime,HIGH_VOL,27,-0.03135352690508278,0.22518185252990766,0.2222222222222222,-0.08954887981424861,-0.051724039430708794,-0.022348759879813756,-0.5519109775304554,0.9944521626500917
