model,split,source,base_age_group,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,future_return_5,5,90,90,0.00905070174265,-0.00540062051142,0.0262403797609
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,mae_5,5,90,90,-0.0423402908979,-0.0503426257923,-0.0351105111491
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,cross_probability_5,5,90,90,0.111111111111,0.0555555555556,0.177777777778
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,future_return_10,10,89,89,0.0176117615488,-0.00330622040003,0.0404869994665
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,mae_10,10,89,89,-0.0592878672011,-0.0683600139865,-0.0510239771281
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,cross_probability_10,10,89,89,0.269662921348,0.179775280899,0.370786516854
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,future_return_20,20,84,84,0.0397727131948,0.0105686391594,0.070301721672
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,mae_20,20,84,84,-0.069079521418,-0.0777215325363,-0.0592620369853
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,cross_probability_20,20,84,84,0.345238095238,0.25,0.464285714286
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,future_return_40,40,0,0,,,
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,mae_40,40,0,0,,,
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,reaction_probability,3,3,3,1,1,1
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,close_favorable_probability,0,3,3,1,1,1
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,future_return_5,5,3,3,0.0214126200382,-0.0924690181125,0.153364632238
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,mae_5,5,3,3,-0.0490095711313,-0.122020972355,-0.00935828877005
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,cross_probability_5,5,3,3,0,0,0
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,future_return_10,10,3,3,0.0134880885538,-0.162059103908,0.128325508607
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,mae_10,10,3,3,-0.0709352146013,-0.187797902765,-0.00935828877005
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,cross_probability_10,10,3,3,0,0,0
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,future_return_20,20,3,3,0.0373918335047,-0.257387988561,0.306729264476
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,mae_20,20,3,3,-0.105001696728,-0.285986653956,-0.0133689839572
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,cross_probability_20,20,3,3,0,0,0
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,future_return_40,40,0,0,,,
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,mae_40,40,0,0,,,
ACTIVE_STICKY,validation,REAL_CHIP,NEW_AGE_1_5,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,reaction_probability,3,534,534,0.370786516854,0.327668539326,0.412031835206
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,close_favorable_probability,0,550,550,0.469090909091,0.427181818182,0.509090909091
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_5,5,528,528,0.0144138792755,0.00764859500696,0.0214772576363
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_5,5,528,528,-0.0381332332346,-0.0413054586366,-0.0352142532534
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_5,5,528,528,0.119318181818,0.092803030303,0.147821969697
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_10,10,520,520,0.00749285509093,0.000130293052206,0.0144053754751
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_10,10,520,520,-0.0528733576363,-0.0570959882152,-0.0487327742304
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_10,10,520,520,0.198076923077,0.167307692308,0.230769230769
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_20,20,423,423,0.0282925162351,0.0175984991069,0.0406677447676
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_20,20,423,423,-0.0653533552436,-0.0707717107257,-0.0605599340597
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_20,20,423,423,0.300236406619,0.252955082742,0.345212765957
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_40,40,0,0,,,
ACTIVE_STICKY,validation,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_40,40,0,0,,,
