split,ambiguity_category,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
holdout,TRANSITIONAL_OR_UNRESOLVED,future_volatility_20,20,2,2,0.0219710381765,0.0196865311957,0.0242555451573
holdout,TRANSITIONAL_OR_UNRESOLVED,future_volume_ratio_20,20,2,2,0.667198665831,0.643885158773,0.690512172889
validation,LEVEL_DISAGREEMENT,model_base_level_spread,0,28,27,0.222959855418,0.172566476416,0.274752578047
validation,LEVEL_DISAGREEMENT,model_base_mass_cv,0,28,27,0.514415286929,0.429189977414,0.594488581974
validation,LEVEL_DISAGREEMENT,model_mode_count_range,0,28,27,1.62962962963,1.33240740741,2
validation,LEVEL_DISAGREEMENT,future_chop_10,10,28,27,0.525462962963,0.458217592593,0.585706018519
validation,LEVEL_DISAGREEMENT,future_return_5,5,28,27,0.015233761335,-0.012734069239,0.0439917129592
validation,LEVEL_DISAGREEMENT,mfe_5,5,28,27,0.0710288109531,0.0475036115662,0.104890066238
validation,LEVEL_DISAGREEMENT,mae_5,5,28,27,-0.0349526314132,-0.0503715997385,-0.0234845350304
validation,LEVEL_DISAGREEMENT,future_volatility_5,5,28,27,0.0198167278867,0.0150747879259,0.0253092202176
validation,LEVEL_DISAGREEMENT,future_volume_ratio_5,5,28,27,1.20346919049,0.939232837605,1.48886265183
validation,LEVEL_DISAGREEMENT,future_return_10,10,28,27,0.00975945713346,-0.0390812735265,0.0590871538368
validation,LEVEL_DISAGREEMENT,mfe_10,10,28,27,0.101528673786,0.0605354231477,0.150754761654
validation,LEVEL_DISAGREEMENT,mae_10,10,28,27,-0.0633037313635,-0.0849787458573,-0.0430676271606
validation,LEVEL_DISAGREEMENT,future_volatility_10,10,28,27,0.025432772476,0.0208970491666,0.0306382012637
