trade_date,family,cost_per_side,nav,cash,positions,industries,industry_hhi
2021-04-13,slow_industry_daily_low_max,0.004,9591423.677,-3.20142135e-10,40,13,0.2626486015
2021-04-14,slow_industry_daily_low_max,0.004,9771659.149,-3.20142135e-10,40,13,0.2664200121
2021-04-15,slow_industry_daily_low_max,0.004,9704744.381,-3.20142135e-10,40,13,0.2616008666
2021-04-16,slow_industry_daily_low_max,0.004,9790345.751,-3.20142135e-10,40,13,0.2576842535
2021-04-19,slow_industry_daily_low_max,0.004,9769796.574,-3.20142135e-10,40,13,0.2539012352
2021-04-20,slow_industry_daily_low_max,0.004,9782240.689,5.820766091e-11,40,13,0.2009232419
2021-04-21,slow_industry_daily_low_max,0.004,9698483.27,5.820766091e-11,40,13,0.1978819199
2021-04-22,slow_industry_daily_low_max,0.004,9763382.528,5.820766091e-11,40,13,0.2016086524
2021-04-23,slow_industry_daily_low_max,0.004,9842894.27,5.820766091e-11,40,13,0.2032482006
2021-04-26,slow_industry_daily_low_max,0.004,9641671.554,5.820766091e-11,40,13,0.2040136274
2021-04-27,slow_industry_daily_low_max,0.004,9606822.567,18136.42127,40,12,0.1338293012
2021-04-28,slow_industry_daily_low_max,0.004,9665419.657,18136.42127,40,12,0.1351751942
2021-04-29,slow_industry_daily_low_max,0.004,9582914.25,18136.42127,40,12,0.1345805397
2021-04-30,slow_industry_daily_low_max,0.004,9498714.621,18136.42127,40,12,0.1341221016
2021-05-06,slow_industry_daily_low_max,0.004,9587821.773,18136.42127,40,12,0.135908522
2021-05-07,slow_industry_daily_low_max,0.004,9590315.556,211820.8667,40,16,0.1138354274
2021-05-10,slow_industry_daily_low_max,0.004,9732272.902,211820.8667,40,16,0.1150651144
2021-05-11,slow_industry_daily_low_max,0.004,9729295.019,211820.8667,40,16,0.115418329
2021-05-12,slow_industry_daily_low_max,0.004,9846899.626,211820.8667,40,16,0.1150790534
2021-05-13,slow_industry_daily_low_max,0.004,9794154.999,211820.8667,40,16,0.1164461923
