trade_date,market_view,denominator,eligible_count,minimum_required,gate_pass
2018-05-22,CHINEXT_BOARD,ALL_STATUS,652,200,True
2018-05-22,CHINEXT_BOARD,NON_ST,652,200,True
2018-05-22,SH_A,ALL_STATUS,1192,400,True
2018-05-22,SH_A,NON_ST,1164,400,True
2018-05-22,SZ_A,ALL_STATUS,1845,400,True
2018-05-22,SZ_A,NON_ST,1824,400,True
2018-05-23,ALL_A,ALL_STATUS,3037,1000,True
2018-05-23,ALL_A,NON_ST,2988,1000,True
2018-05-23,CHINEXT_BOARD,ALL_STATUS,653,200,True
2018-05-23,CHINEXT_BOARD,NON_ST,653,200,True
2018-05-23,SH_A,ALL_STATUS,1188,400,True
2018-05-23,SH_A,NON_ST,1160,400,True
2018-05-23,SZ_A,ALL_STATUS,1849,400,True
2018-05-23,SZ_A,NON_ST,1828,400,True
2018-05-24,ALL_A,ALL_STATUS,3029,1000,True
2018-05-24,ALL_A,NON_ST,2980,1000,True
2018-05-24,CHINEXT_BOARD,ALL_STATUS,652,200,True
2018-05-24,CHINEXT_BOARD,NON_ST,652,200,True
2018-05-24,SH_A,ALL_STATUS,1182,400,True
2018-05-24,SH_A,NON_ST,1154,400,True
2018-05-24,SZ_A,ALL_STATUS,1847,400,True
2018-05-24,SZ_A,NON_ST,1826,400,True
2018-05-25,ALL_A,ALL_STATUS,3028,1000,True
2018-05-25,ALL_A,NON_ST,2979,1000,True
2018-05-25,CHINEXT_BOARD,ALL_STATUS,650,200,True
2018-05-25,CHINEXT_BOARD,NON_ST,650,200,True
2018-05-25,SH_A,ALL_STATUS,1180,400,True
2018-05-25,SH_A,NON_ST,1152,400,True
2018-05-25,SZ_A,ALL_STATUS,1848,400,True
2018-05-25,SZ_A,NON_ST,1827,400,True
2018-05-28,ALL_A,ALL_STATUS,3027,1000,True
2018-05-28,ALL_A,NON_ST,2977,1000,True
2018-05-28,CHINEXT_BOARD,ALL_STATUS,648,200,True
2018-05-28,CHINEXT_BOARD,NON_ST,648,200,True
2018-05-28,SH_A,ALL_STATUS,1175,400,True
2018-05-28,SH_A,NON_ST,1147,400,True
2018-05-28,SZ_A,ALL_STATUS,1852,400,True
2018-05-28,SZ_A,NON_ST,1830,400,True
2018-05-29,ALL_A,ALL_STATUS,3016,1000,True
